artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Abundant Life Piano,Here I am to Worship - Instrumental,6uGhqW1s8mQGtKBTVBi4RD,35,2021,piano,0.564,0.0777,4,-26.23,1,0.081,0.994,0.969,0.104,0.231,73.03,203161,4
Gotan Project,Peligro,660b7El2m2PG9NtYHEYd2q,17,2010,electro,0.772,0.601,9,-6.782,1,0.0458,0.209,0.00386,0.0781,0.561,99.015,237800,4
Prince Jammy,Bad Girls Dub,6XH2Goo5FKP1yKJy4ESFQb,13,2011,dub,0.843,0.516,6,-9.459,0,0.0615,0.000297,0.911,0.0645,0.84,130.535,205787,4
Prasanna,Manthralaya Brindavana,1yshHfHBrHx8AE2DHvmaFB,13,2003,indian,0.57,0.604,6,-7.29,0,0.0399,0.664,0.0,0.0945,0.671,87.876,1397510,4
Gerson Rufino,Dono Da Igreja - Playback,3g43IPaJ4Jvun0tT7AexJd,5,2011,sertanejo,0.581,0.494,4,-9.895,1,0.0269,0.00205,0.605,0.279,0.39,96.008,242867,4
Stanton Lanier,Quiet Place,6Ooc7sMvXWpuGMc0MSGS3K,25,2005,new-age,0.326,0.0289,0,-24.67,1,0.0695,0.989,0.941,0.103,0.268,181.658,210640,1
Black Country Communion,Big Train,4d1BdWtDG2QIJmseuKFLAN,7,2012,hard-rock,0.603,0.873,9,-5.728,0,0.0556,0.0144,0.23,0.0334,0.6,140.013,257387,4
Haul,Purnama,7iwMy8dFtpJHe4LkwKYpgF,12,2013,black-metal,0.313,0.978,6,-5.429,0,0.0826,9.68e-06,0.897,0.0942,0.196,96.76,232535,4
36 Crazyfists,Sea And Smoke,0WeEsig7GCHAOpDjvRt7o3,17,2017,groove,0.43,0.938,0,-2.083,1,0.0607,6e-05,0.0173,0.342,0.434,147.088,287347,4
Dilip Shadangi,Kay Punya Kare,57nEcubVXQE3W8dy5axhXS,0,2013,samba,0.54,0.851,5,-4.75,1,0.0611,0.587,0.0,0.138,0.767,89.783,311449,4
BCee,Cannot Escape Your Love,7hZzeJNEz8USsJ8fRatnMq,17,2019,drum-and-bass,0.531,0.993,8,-3.35,1,0.0694,0.00208,0.183,0.273,0.867,174.921,334729,4
