Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
1093850,efdemin,Lohn & Brot,3DnI5kzm4mHrdh2nJG1Ine,0,2006,minimal-techno,0.794,0.44,3,-13.559,0,0.0903,0.189,0.909,0.0929,0.369,123.971,491720,4,Calm
773587,Danny Wright,Tender Moments,3TDLHymAu7MKtT1zCLvQjM,11,2001,new-age,0.413,0.0663,0,-20.151,1,0.0501,0.99,0.847,0.0771,0.165,90.883,199733,3,Sad
475895,Blind Channel,Snake,5LutUiethL9EM5fRfL2j2u,26,2020,trance,0.344,0.857,5,-5.622,0,0.202,0.000106,0.0,0.372,0.513,173.165,185538,4,Energetic
195126,Govi,Glowing Embers,4H1pgC3JDrDpuXtA9cIm3f,16,2015,new-age,0.709,0.314,6,-11.589,0,0.0383,0.744,0.874,0.0753,0.327,93.977,374013,4,Calm
185847,Mikis Theodorakis,To Fegari,0EKGAbvgyDJEO1MxFXnpY1,5,2015,guitar,0.679,0.401,2,-12.477,1,0.0465,0.345,0.716,0.0391,0.753,139.275,220533,4,Calm
67493,Masicka,Greatest Pussy,5r2RmU04Y9UAmmFNtbLjYE,11,2013,dancehall,0.539,0.654,0,-6.049,1,0.0632,0.337,0.000102,0.17,0.611,89.635,176000,3,Calm
186181,For All Eternity,The Divide,6a53JyeoyRFiknxUqkzyXk,18,2015,hard-rock,0.415,0.913,11,-4.184,0,0.0781,1.93e-05,3.56e-06,0.307,0.326,113.394,193488,5,Calm
393218,The Sound That Ends Creation,Nothing Ruins Friday More Than Understanding That Today Is Tuesday,6pi2S31XtDySz7SRif5CO4,0,2019,grindcore,0.342,0.983,9,-4.941,1,0.328,4.38e-05,0.0556,0.388,0.0955,180.163,113564,3,Energetic
898292,Josh Groban,Hymne à l'amour,2onAfC2YnkC0fXjZmWlQzp,25,2003,opera,0.298,0.191,3,-12.234,1,0.0356,0.917,0.000559,0.107,0.128,89.187,243360,3,Sad
195341,Yiruma,Loanna,0m0f6GFvF3K7xbydgi6Vxb,13,2015,new-age,0.326,0.182,7,-18.175,1,0.0487,0.979,0.839,0.12,0.0881,151.465,262493,3,Sad
1277057,Original Sin,Kiss,52z3kgKONdctYHpLAmXllw,6,2009,drum-and-bass,0.307,0.99,8,-4.244,0,0.153,0.00103,0.851,0.114,0.358,88.318,294859,4,Calm
914421,Absolute Sleep Music,Music For Sleep 2,4h6mv461Ys9VtwpuGJsvqt,0,2003,sleep,0.14,0.134,8,-25.997,0,0.0477,0.979,0.901,0.0835,0.0241,142.333,1800827,4,Sad
789166,Tom Waits,Christmas Card From A Hooker In Minneapolis,1geXKG0V8tnsM4KXoErs8C,17,2001,songwriter,0.424,0.0721,6,-16.953,1,0.0568,0.919,2.8e-05,0.11,0.19,170.318,273200,3,Sad
40017,Secondhand Serenade,Belong to (Bonus Track),1SAcwuvmbksrfp8bqXQQ3a,24,2012,piano,0.561,0.356,3,-8.358,1,0.0294,0.665,0.0,0.144,0.163,137.982,234160,4,Sad
1321383,Matthew Barber,Our Voices,5vvQAmq4LXw68VIQRutqQp,28,2009,singer-songwriter,0.402,0.205,4,-11.203,1,0.0287,0.904,0.00849,0.104,0.148,138.66,206520,4,Sad
567650,Darlene Koldenhoven,Sweet Peace,1KltOdoNaA6uRVIazQhnI2,2,2022,opera,0.305,0.0839,1,-21.956,1,0.0336,0.969,0.815,0.101,0.0635,83.483,255977,3,Sad
1015259,Bashful Brother Oswald,Sunday In The Mountains,3o9X9Nnlc69emYjliM9QV7,2,2005,guitar,0.55,0.17,9,-16.699,1,0.0309,0.485,0.777,0.326,0.421,100.085,157240,4,Calm
622075,WNDRLST,Eden,6sQRjFXjDzUcdS1zqWlC56,32,2023,techno,0.627,0.998,8,-7.032,1,0.096,0.00451,0.773,0.31,0.0389,150.01,316417,4,Energetic
56188,Battle of Santiago,Opposite Forces,4XXOZWNWZ4sxk0BfYYJvmB,0,2013,afrobeat,0.702,0.772,4,-15.983,0,0.11,0.0801,0.00203,0.172,0.578,109.986,158500,4,Calm
159591,Alberto Castillo,Todavia Hay Otarios,5Bcau3U5ujU1OiDUIPHF6E,0,2014,tango,0.611,0.297,1,-14.208,0,0.217,0.895,1.54e-05,0.341,0.591,118.008,125035,4,Calm
1449727,Beatrice Egli,Ein Mann mit kleinen Fehlern,2v1rjHxqhJynWL7XwWM1zm,2,2011,party,0.664,0.923,5,-4.199,0,0.0376,0.27,0.0,0.0716,0.859,89.989,206240,4,Happy
825611,Tren Loco,Estoy Saliendo,5cLVd17COrWgv9DIycrBSd,4,2002,heavy-metal,0.235,0.808,9,-6.058,0,0.0608,0.00302,0.0053,0.102,0.0722,94.984,353027,4,Calm
538854,Rich Batsford,The Waltz Of Love And Life,0ItU9896ga8nwQioNkJH4I,28,2022,classical,0.485,0.144,9,-24.039,0,0.0552,0.989,0.942,0.0917,0.115,95.908,101788,3,Sad
1184838,Mürfila,Caliente,1Fpw1scUKlEno2IHtUh5vN,8,2007,spanish,0.721,0.735,5,-4.259,0,0.0493,0.355,0.0,0.102,0.498,128.978,222853,4,Energetic
537963,dhruv,what's wrong with me?,6sWkR0Y0NsJN4Ov3vKAPIa,45,2022,chill,0.504,0.405,6,-11.312,0,0.0515,0.786,0.00143,0.102,0.176,93.469,185376,4,Sad
1088703,Icon Of Coil,Come Alive,5CuBeuegueOd0r6tyc0TIY,12,2006,industrial,0.633,0.926,2,-8.796,1,0.0394,0.000388,0.795,0.0976,0.561,140.002,292987,4,Energetic
825605,Tren Loco,Perforando la Noche,1MVej3w1KCqpPTEHIBr09n,7,2002,heavy-metal,0.216,0.956,4,-3.506,0,0.0822,0.000232,0.000986,0.253,0.319,94.506,274747,4,Calm
215175,Black Math,Heat Stroke,6eO78rJBtNGmKDdVS0USVT,38,2016,alt-rock,0.727,0.847,8,-5.194,1,0.268,0.0291,0.00573,0.187,0.236,119.944,156897,4,Calm
503664,Black Sabbath,Hole In The Sky - 2021 Remaster,0hrdnA4dwLx0GiAa8PDU3U,31,2021,hard-rock,0.363,0.845,11,-7.219,1,0.0746,0.00248,2.34e-05,0.936,0.371,117.24,239232,4,Calm
125226,Congi,Somnium - Original Mix,2ChLKTRblfLAx7Byj4QMoK,16,2014,dub,0.57,0.303,11,-10.175,0,0.0939,0.14,0.446,0.0954,0.37,139.652,334217,4,Calm
165728,Grift,Aftonlandet,41Kidi7iuwbtzM9YAL3Onr,10,2015,black-metal,0.142,0.975,9,-8.087,0,0.176,0.000249,0.643,0.0926,0.0344,145.997,511811,3,Energetic
557584,Jimi Hendrix,"Star Spangled Banner - Live at the Los Angeles Forum, Inglewood, CA - April 26, 1969",3a5nkLEns5rliMglncPh9T,23,2022,hard-rock,0.213,0.63,3,-12.681,1,0.0501,0.785,0.263,0.365,0.3,100.565,151307,4,Calm
650979,7 Seconds,99 Red Balloons - Live,1tnEuPLrN86Zx8SHOEARP3,14,2000,hardcore,0.331,0.853,4,-7.548,0,0.0782,2.73e-05,0.771,0.741,0.258,96.302,372067,4,Calm
384617,Caroline Polachek,Go As a Dream,3nNN1uts4kwkdwwV1CzZaN,44,2019,electro,0.63,0.251,6,-11.475,1,0.0325,0.826,0.00136,0.119,0.21,171.923,207830,4,Sad
1170601,John Dahlbäck,Watch Me,0BSLeCRsCLjVYezVRkv8KT,2,2007,progressive-house,0.91,0.45,11,-11.339,0,0.0668,0.00153,0.399,0.0959,0.0389,126.007,371429,4,Calm
241723,Dangers,Loose Cigarettes,6XGF8TBNhVo8Y8AXY8BUhl,33,2016,hardcore,0.322,0.754,10,-6.282,1,0.0581,0.0137,0.00112,0.618,0.176,153.595,300862,4,Energetic
987807,Casting Crowns,"Father, Spirit, Jesus",3U4wvnMVNMDSuSdHMHeFq3,26,2005,alt-rock,0.53,0.81,11,-5.878,1,0.0376,0.00419,0.0,0.258,0.468,120.039,310347,4,Energetic
389239,Johnny Gill,That's My Baby,53gGhFuqYlPmQGGQIjWebP,18,2019,funk,0.549,0.478,1,-6.734,1,0.029,0.361,0.0,0.0907,0.132,93.192,253567,4,Calm
195652,Michael Whalen,Compared to a Summer's Day,2enRhF0Br85zhqnEsQUDtQ,2,2015,new-age,0.709,0.0749,11,-17.038,1,0.0483,0.994,0.93,0.0994,0.206,138.005,311853,4,Sad
847427,Mococa E Moraci,Meu Retrato,5S71qYWMGJCfnJ5TGEEYrG,2,2002,sertanejo,0.724,0.501,2,-5.328,1,0.0353,0.725,0.0,0.107,0.73,99.248,128487,4,Calm
274544,Márcia Fellipe,Vai Descendo - Ao Vivo,3Xcmzwd3EUuYqQebAC7RlU,27,2017,forro,0.666,0.952,9,-5.8,1,0.0529,0.308,0.0467,0.304,0.929,158.03,136257,4,Happy
165097,Moonspell,Medusalem,07JshtjyWwSX0BN4PAjLkZ,18,2015,black-metal,0.371,0.945,4,-4.867,0,0.0712,1.35e-05,0.801,0.0623,0.313,80.505,306280,4,Calm
412970,Tamba 4,Na Onda Do Berimbau,0NBYZNYe5MpnFd0WQmj1H2,9,2019,samba,0.44,0.385,7,-17.008,1,0.038,0.811,0.000464,0.0844,0.415,96.394,135795,4,Calm
990718,Delbert McClinton,I'll Change My Style,62ONoX1QAUiCX1YiAzsdkz,11,2005,blues,0.402,0.543,11,-7.404,1,0.0487,0.343,4.47e-05,0.0949,0.696,182.344,156707,3,Calm
293106,Mezzo Piano,Anything Can Happen,2ckjcNlfQh2apHs63T5ofM,17,2017,piano,0.503,0.226,9,-16.081,1,0.0437,0.975,0.934,0.107,0.0631,142.132,331380,4,Sad
1418313,Makoto,Summertime Blues,5ks4dZYNoiCeUlRw553FQM,0,2011,drum-and-bass,0.721,0.876,10,-3.539,0,0.0559,0.002,0.893,0.0708,0.146,137.991,336882,4,Energetic
1194338,Eagles Of Death Metal,Heart On,3MMlgTi2vTkcsWKn7VXSdW,23,2008,blues,0.543,0.861,4,-2.223,0,0.0454,0.0179,0.0428,0.21,0.588,141.629,163160,4,Energetic
212564,Flanger,Centre of Unrest,7vkyXMliAzPsCtcItxDZmf,3,2015,trip-hop,0.646,0.552,1,-16.807,1,0.0951,0.144,0.83,0.0995,0.146,127.965,254549,5,Calm
11672,Colt Ford,Ain’t Out of the Woods Yet (feat. Montgomery Gentry),6ppSjfNnek9OEUO1iQwOnZ,24,2012,country,0.558,0.855,2,-4.998,0,0.0593,0.0543,0.0,0.11,0.756,82.043,184274,4,Happy
540535,Katrina Davis,Synesthesia,1Gf3kckfCebwLwk53MtWK2,1,2022,comedy,0.626,0.569,6,-12.435,0,0.948,0.73,0.0,0.6,0.644,86.594,142567,3,Calm
375895,Doug Stanhope,Secret of My Success,50ODEW627OIEQwFBVbpNof,23,2019,comedy,0.479,0.74,5,-13.471,1,0.938,0.858,0.0,0.895,0.396,79.091,133850,4,Calm
949826,Markus Reuter,History,5s7Ni7QESWf9xjCx6RQVP5,0,2004,guitar,0.619,0.5,5,-14.645,1,0.0402,0.74,0.918,0.0619,0.276,99.91,237053,4,Sad
461928,Morunas,Animal Crossing: New Horizons - 7 AM,2tv062bJuFWRE2RjHHP6yg,23,2020,piano,0.658,0.0371,7,-19.21,1,0.0924,0.993,0.961,0.109,0.469,71.636,53987,5,Calm
307459,Eladia Blazquez,Soledad,0gsltF2Gck6PndrYQJT0eg,0,2017,tango,0.35,0.307,5,-10.506,1,0.059,0.706,1.16e-05,0.262,0.384,87.489,144509,4,Calm
112185,Sylvaine,Bien Loin D'ici,3sqO6AIz5X0NKpZo0rijCu,10,2014,black-metal,0.419,0.657,10,-8.889,0,0.0299,0.0815,0.887,0.0993,0.179,100.004,394027,4,Calm
1284907,Bonde do Forró,Abre o Som,27vq4tklvAP5XWwrgOCejs,1,2009,forro,0.766,0.776,1,-15.954,0,0.119,0.337,0.0,0.388,0.697,94.052,208901,4,Happy
623827,Queens of the Stone Age,Feel Good Hit Of The Summer,7qTZ3NYt0p2Bdyaq4YS6UL,44,2000,alt-rock,0.333,0.935,11,-5.768,1,0.178,0.0176,0.000476,0.176,0.516,164.926,163627,4,Energetic
384430,Big Wild,6's to 9's - CAZZETTE Remix,2LM47nP1VSpxtsvQB2Nu4z,48,2019,electro,0.586,0.852,8,-9.754,1,0.0598,0.00459,0.00519,0.242,0.392,126.119,170063,4,Energetic
1295530,Headhunterz,Megasound - Original Mix,7HRI3UrfstXMwbmLm4ke06,25,2009,hardstyle,0.569,0.788,7,-5.766,1,0.0685,0.000346,0.0392,0.0637,0.297,150.025,295220,4,Energetic
191257,Swans,Why Hide,1BYNcARh39gQUA5VV07b8N,11,2015,industrial,0.248,0.93,3,-7.83,1,0.105,0.000134,0.12,0.0574,0.0746,84.531,350307,3,Calm
1133564,Paradise Lost,Requiem,7hddaGuCLsUd8e1QivJSZA,19,2007,death-metal,0.446,0.905,4,-5.134,0,0.0508,6.89e-05,0.676,0.143,0.3,125.457,265293,4,Energetic
777685,Unni Menon,Sreedevi Padham,5Rabo76FRaInwhADsoyXM2,0,2001,pop-film,0.568,0.235,2,-17.25,1,0.0348,0.713,0.0,0.196,0.616,105.942,281682,1,Calm
1228452,Lemon Demon,Being a Rock Star,65IWzlQyOMKHGqfKeDOJXe,35,2008,indie-pop,0.706,0.577,4,-14.189,0,0.0367,0.476,0.0,0.123,0.753,105.033,136694,4,Calm
68528,Impaled,Flesh & Blood,3MAGivAfc46H8UFF2cbFt9,11,2013,death-metal,0.442,0.951,11,-5.72,1,0.123,1.04e-05,0.555,0.19,0.182,99.928,215840,4,Calm
923111,Interpol,Public Pervert,0RuNcAWpoSj9qcjCEwl2mt,41,2004,alt-rock,0.318,0.813,5,-3.658,1,0.0345,0.000915,0.696,0.185,0.288,98.837,280080,4,Calm
282379,"Fear, and Loathing in Las Vegas",Fight Against the Limit,7ccIfHaAeiqaibj2bEuQtp,26,2017,hard-rock,0.214,0.988,6,-0.64,0,0.303,0.000908,2.3e-06,0.412,0.376,188.122,225253,4,Energetic
601618,TOMMA INTET,TAEDIUM VITAE,5SNAA8K6ubNzLnD11a1yxm,9,2023,goth,0.465,0.665,11,-9.849,0,0.0305,0.0777,0.888,0.219,0.589,125.04,190000,4,Calm
968059,Grateful Dead,"Jam - 1; Live at Philadelphia Civic Center, Philadelphia, PA, August 4-5, 1974",4M6LIxr56r6Fkmkd2ZS3qX,12,2004,psych-rock,0.412,0.494,11,-14.965,0,0.0701,0.849,0.914,0.134,0.441,148.667,565333,4,Calm
